2026-03-11 15:42:16 | ai_engine | INFO | AI Engine ready (using Groq)
2026-03-11 15:43:40 | telegram.Bot | DEBUG | Entering: send_message
2026-03-11 15:43:41 | telegram.Bot | DEBUG | Message(author_signature='Current Affairs', channel_chat_created=False, chat=Chat(id=-1003460978194, title='Kansiri', type=<ChatType.CHANNEL>, username='kansiri_daily_updates'), date=datetime.datetime(2026, 3, 11, 10, 13, 42, tzinfo=<UTC>), delete_chat_photo=False, group_chat_created=False, has_protected_content=True, message_id=3, sender_chat=Chat(id=-1003460978194, title='Kansiri', type=<ChatType.CHANNEL>, username='kansiri_daily_updates'), supergroup_chat_created=False, text='🧪 Test message — Bot is working! ✅')
2026-03-11 15:43:41 | telegram.Bot | DEBUG | Exiting: send_message
2026-03-11 17:08:44 | ai_engine | INFO | AI Engine ready (using Groq)
2026-03-11 17:12:48 | scraper | INFO | Starting news collection from 11 sources...
2026-03-11 17:12:48 | scraper | INFO | Reading: The Hindu - National
2026-03-11 17:13:06 | scraper | INFO |    Got 15 articles from The Hindu - National
2026-03-11 17:13:06 | scraper | INFO | Reading: The Hindu - International
2026-03-11 17:13:23 | scraper | INFO |    Got 15 articles from The Hindu - International
2026-03-11 17:13:23 | scraper | INFO | Reading: The Hindu - Economy
2026-03-11 17:13:40 | scraper | INFO |    Got 15 articles from The Hindu - Economy
2026-03-11 17:13:40 | scraper | INFO | Reading: The Hindu - Science
2026-03-11 17:13:58 | scraper | INFO |    Got 15 articles from The Hindu - Science
2026-03-11 17:13:58 | scraper | INFO | Reading: The Hindu - Environment
2026-03-11 17:14:16 | scraper | INFO |    Got 15 articles from The Hindu - Environment
2026-03-11 17:14:16 | scraper | INFO | Reading: Indian Express - India
2026-03-11 17:14:54 | scraper | INFO |    Got 15 articles from Indian Express - India
2026-03-11 17:14:54 | scraper | INFO | Reading: Indian Express - Economy
2026-03-11 17:15:25 | scraper | INFO |    Got 15 articles from Indian Express - Economy
2026-03-11 17:15:25 | scraper | INFO | Reading: PIB India
2026-03-11 17:15:26 | scraper | WARNING |    No articles found in PIB India
2026-03-11 17:15:26 | scraper | INFO | Reading: Down To Earth
2026-03-11 17:15:27 | scraper | WARNING |    No articles found in Down To Earth
2026-03-11 17:15:27 | scraper | INFO | Reading: Livemint Economy
2026-03-11 17:15:48 | scraper | INFO |    Got 15 articles from Livemint Economy
2026-03-11 17:15:48 | scraper | INFO | Reading: Times of India
